Gene_A	Gene_B	Weight
AT1G06110	AT1G20140	4.2E-1
AT1G04410	AT1G21750	4.9E-2
AT1G20140	AT1G21760	6.4E-1
AT1G13180	AT1G29170	1E0
AT1G32900	AT1G34760	3E-2
AT1G32900	AT1G35160	2.5E-2
AT1G34760	AT1G35160	2.5E-2
AT1G21750	AT1G47128	4.4E-1
AT1G02560	AT1G49970	1E0
AT1G45000	AT1G53780	1.5E-1
AT1G35160	AT1G55520	3.6E-1
AT1G32900	AT1G62170	3E-2
AT1G34760	AT1G62170	3E-2
AT1G35160	AT1G62170	2.5E-2
AT1G04410	AT1G65980	5.9E-2
AT1G21750	AT1G65980	5.7E-2
AT1G51650	AT1G66340	5.3E-1
AT1G20140	AT1G67340	4.2E-1
AT1G04410	AT1G70850	5.9E-2
AT1G21750	AT1G70850	5.7E-2
AT1G65980	AT1G70850	6.8E-2
AT1G45000	AT1G75990	1.5E-1
AT1G53780	AT1G75990	1.9E-1
AT1G32900	AT1G78300	2.8E-2
AT1G34760	AT1G78300	2.8E-2
AT1G35160	AT1G78300	2.4E-2
AT1G62170	AT1G78300	2.8E-2
AT1G12840	AT1G78900	3.3E-1
AT1G49140	AT1G79010	1.2E-1
AT1G32900	AT1G80840	3E-2
AT1G34760	AT1G80840	3E-2
AT1G35160	AT1G80840	2.5E-2
AT1G62170	AT1G80840	3E-2
AT1G78300	AT1G80840	2.8E-2
AT1G04410	AT2G01140	5.9E-2
AT1G21750	AT2G01140	5.7E-2
AT1G65980	AT2G01140	6.8E-2
AT1G70850	AT2G01140	6.8E-2
AT1G04410	AT2G01520	5.9E-2
AT1G21750	AT2G01520	5.7E-2
AT1G65980	AT2G01520	6.8E-2
AT1G70850	AT2G01520	6.8E-2
AT2G01140	AT2G01520	6.8E-2
AT1G05260	AT2G01950	2.6E-1
AT1G13750	AT2G01950	2.6E-1
AT1G32900	AT2G01950	1.7E-2
AT1G34760	AT2G01950	1.7E-2
AT1G35160	AT2G01950	1.5E-2
AT1G62170	AT2G01950	1.7E-2
AT1G78300	AT2G01950	1.6E-2
AT1G80840	AT2G01950	1.7E-2
AT1G75950	AT2G03160	5.4E-1
AT1G75950	AT2G03170	5.4E-1
AT1G04410	AT2G05840	4.2E-2
AT1G21750	AT2G05840	4.1E-2
AT1G45000	AT2G05840	6.7E-2
AT1G53780	AT2G05840	8.1E-2
AT1G65980	AT2G05840	4.9E-2
AT1G70850	AT2G05840	4.9E-2
AT1G75990	AT2G05840	8.1E-2
AT2G01140	AT2G05840	4.9E-2
AT2G01520	AT2G05840	4.9E-2
AT1G04410	AT2G16600	5.9E-2
AT1G21750	AT2G16600	5.7E-2
AT1G65980	AT2G16600	6.8E-2
AT1G70850	AT2G16600	6.8E-2
AT2G01140	AT2G16600	6.8E-2
AT2G01520	AT2G16600	6.8E-2
AT2G05840	AT2G16600	4.9E-2
AT1G32900	AT2G19110	3E-2
AT1G34760	AT2G19110	3E-2
AT1G35160	AT2G19110	2.5E-2
AT1G62170	AT2G19110	3E-2
AT1G78300	AT2G19110	2.8E-2
AT1G80840	AT2G19110	3E-2
AT2G01950	AT2G19110	1.7E-2
AT1G75950	AT2G20160	5.4E-1
AT1G32900	AT2G24120	3E-2
AT1G34760	AT2G24120	3E-2
AT1G35160	AT2G24120	2.5E-2
AT1G62170	AT2G24120	3E-2
AT1G78300	AT2G24120	2.8E-2
AT1G80840	AT2G24120	3E-2
AT2G01950	AT2G24120	1.7E-2
AT2G19110	AT2G24120	3E-2
AT1G01970	AT2G27960	2.1E-1
AT1G55890	AT2G27960	1.8E-1
AT1G78900	AT2G27960	1.1E-1
AT1G55890	AT2G27970	2E-1
AT1G78900	AT2G27970	1.2E-1
AT2G27960	AT2G27970	6.9E-2
AT1G32900	AT2G29100	3E-2
AT1G34760	AT2G29100	3E-2
AT1G35160	AT2G29100	2.5E-2
AT1G62170	AT2G29100	3E-2
AT1G78300	AT2G29100	2.8E-2
AT1G80840	AT2G29100	3E-2
AT2G01950	AT2G29100	1.7E-2
AT2G19110	AT2G29100	3E-2
AT2G24120	AT2G29100	3E-2
AT1G32900	AT2G30770	3E-2
AT1G34760	AT2G30770	3E-2
AT1G35160	AT2G30770	2.5E-2
AT1G62170	AT2G30770	3E-2
AT1G78300	AT2G30770	2.8E-2
AT1G80840	AT2G30770	3E-2
AT2G01950	AT2G30770	1.7E-2
AT2G19110	AT2G30770	3E-2
AT2G24120	AT2G30770	3E-2
AT2G29100	AT2G30770	3E-2
AT2G01950	AT2G31570	2.6E-1
AT1G51650	AT2G33040	2.9E-1
AT1G04410	AT2G38390	5.9E-2
AT1G21750	AT2G38390	5.7E-2
AT1G65980	AT2G38390	6.8E-2
AT1G70850	AT2G38390	6.8E-2
AT2G01140	AT2G38390	6.8E-2
AT2G01520	AT2G38390	6.8E-2
AT2G05840	AT2G38390	4.9E-2
AT2G16600	AT2G38390	6.8E-2
AT1G14370	AT2G41090	1.4E-1
AT1G28390	AT2G41090	1.4E-1
AT1G54610	AT2G41090	1.4E-1
AT1G35160	AT2G41630	3.6E-1
AT1G51650	AT2G43140	1.9E-1
AT1G51660	AT2G43790	7.7E-1
AT1G28050	AT2G47810	4.5E-1
AT2G41090	AT2G48010	1.4E-1
AT1G12840	AT3G01390	6.1E-1
AT1G78900	AT3G01390	3.3E-1
AT1G06680	AT3G01480	2E-1
AT2G36270	AT3G02140	1E0
AT1G04410	AT3G02770	5.9E-2
AT1G21750	AT3G02770	5.7E-2
AT1G65980	AT3G02770	6.8E-2
AT1G70850	AT3G02770	6.8E-2
AT2G01140	AT3G02770	6.8E-2
AT2G01520	AT3G02770	6.8E-2
AT2G05840	AT3G02770	4.9E-2
AT2G16600	AT3G02770	6.8E-2
AT2G38390	AT3G02770	6.8E-2
AT2G41090	AT3G02880	1.4E-1
AT1G49140	AT3G03100	1.2E-1
AT1G79010	AT3G03100	1.2E-1
AT2G01950	AT3G04720	2.6E-1
AT1G10270	AT3G06480	1.7E-1
AT3G02520	AT3G09840	9.2E-1
AT2G26040	AT3G11410	5.9E-1
AT2G38310	AT3G11410	1.8E-1
AT2G01950	AT3G14220	2.6E-1
AT1G45000	AT3G14290	1.5E-1
AT1G53780	AT3G14290	1.9E-1
AT1G75990	AT3G14290	1.9E-1
AT2G05840	AT3G14290	8.1E-2
AT1G32900	AT3G14470	3E-2
AT1G34760	AT3G14470	3E-2
AT1G35160	AT3G14470	2.5E-2
AT1G62170	AT3G14470	3E-2
AT1G78300	AT3G14470	2.8E-2
AT1G80840	AT3G14470	3E-2
AT2G01950	AT3G14470	1.7E-2
AT2G19110	AT3G14470	3E-2
AT2G24120	AT3G14470	3E-2
AT2G29100	AT3G14470	3E-2
AT2G30770	AT3G14470	3E-2
AT2G41090	AT3G20110	1.4E-1
AT2G44540	AT3G21340.1	1E0
AT1G77120	AT3G21510	4.9E-1
AT2G40670	AT3G21510	7.1E-1
AT1G10270	AT3G22330	1.7E-1
AT3G06480	AT3G22330	2.1E-1
AT1G45000	AT3G22630	1.5E-1
AT1G53780	AT3G22630	1.9E-1
AT1G75990	AT3G22630	1.9E-1
AT2G05840	AT3G22630	8.1E-2
AT3G14290	AT3G22630	1.9E-1
AT2G27960	AT3G24810	1.8E-1
AT1G06680	AT3G26060	2E-1
AT3G01480	AT3G26060	2E-1
AT1G14370	AT3G43810	1.1E-1
AT1G28390	AT3G43810	1.1E-1
AT1G54610	AT3G43810	1.1E-1
AT2G30590	AT3G43810	3.2E-1
AT2G48010	AT3G43810	1.1E-1
AT3G02880	AT3G43810	1.1E-1
AT3G20110	AT3G43810	1.1E-1
AT3G26170	AT3G43810	3.2E-1
AT1G32900	AT3G46710	3E-2
AT1G34760	AT3G46710	3E-2
AT1G35160	AT3G46710	2.5E-2
AT1G62170	AT3G46710	3E-2
AT1G78300	AT3G46710	2.8E-2
AT1G80840	AT3G46710	3E-2
AT2G01950	AT3G46710	1.7E-2
AT2G19110	AT3G46710	3E-2
AT2G24120	AT3G46710	3E-2
AT2G29100	AT3G46710	3E-2
AT2G30770	AT3G46710	3E-2
AT3G14470	AT3G46710	3E-2
AT3G16620	AT3G46740	1E0
AT1G49140	AT3G48680	1.2E-1
AT1G79010	AT3G48680	1.2E-1
AT3G03100	AT3G48680	1.2E-1
AT1G10270	AT3G48930	3.5E-1
AT1G78900	AT3G49240	1.9E-1
AT2G27960	AT3G49240	1.2E-1
AT2G27970	AT3G49240	1.3E-1
AT2G39800	AT3G49240	1.8E-1
AT1G06680	AT3G50820	1.8E-1
AT3G01480	AT3G50820	1.8E-1
AT3G26060	AT3G50820	1.8E-1
AT1G14370	AT3G51920	1.3E-1
AT1G28390	AT3G51920	1.3E-1
AT1G54610	AT3G51920	1.3E-1
AT2G48010	AT3G51920	1.3E-1
AT3G02880	AT3G51920	1.3E-1
AT3G20110	AT3G51920	1.3E-1
AT2G39800	AT3G52090	1.8E-1
AT3G13640	AT3G52090	6.5E-1
AT2G38310	AT3G53430	2.2E-1
AT3G14790	AT3G55130	1E0
AT1G10270	AT3G58570	1.7E-1
AT3G06480	AT3G58570	2.1E-1
AT3G22330	AT3G58570	2.1E-1
AT1G32900	AT3G59220	3E-2
AT1G34760	AT3G59220	3E-2
AT1G35160	AT3G59220	2.5E-2
AT1G62170	AT3G59220	3E-2
AT1G78300	AT3G59220	2.8E-2
AT1G80840	AT3G59220	3E-2
AT2G01950	AT3G59220	1.7E-2
AT2G19110	AT3G59220	3E-2
AT2G24120	AT3G59220	3E-2
AT2G29100	AT3G59220	3E-2
AT2G30770	AT3G59220	3E-2
AT3G14470	AT3G59220	3E-2
AT3G46710	AT3G59220	3E-2
AT1G06110	AT3G60010	2.2E-1
AT1G67340	AT3G60010	2.2E-1
AT1G75950	AT3G60010	1E-1
